subject_age,subject_income_category,married,relationship_duration,children
47,125k_150k,not_married,10.5833330154419,2
66,40k_50k,married,32.0,2
43,150k_175k,married,17.5,3
59,40k_50k,married,41.4166679382324,1
57,100k_125k,married,31.25,2
64,85k_100k,married,34.3333320617676,2
34,under_5k,not_married,3.91666674613953,1
45,85k_100k,married,27.0833339691162,3
39,40k_50k,married,5.0,6
65,75k_85k,married,38.5833320617676,3
45,150k_175k,married,20.3333339691162,4
49,under_5k,not_married,2.83333325386047,1
79,over_250k,married,52.0833320617676,2
75,35k_40k,married,51.8333320617676,2
59,125k_150k,married,29.3333339691162,4
72,10k_12k,married,46.6666679382324,2
52,100k_125k,married,22.6666660308838,2
63,50k_60k,married,39.5833320617676,2
35,85k_100k,not_married,2.16666674613953,1
68,60k_75k,married,48.5,2
39,over_250k,married,9.33333301544189,4
77,30k_35k,married,51.9166679382324,2
56,60k_75k,married,29.25,1
58,75k_85k,married,22.4166660308838,4
29,over_250k,not_married,2.08333325386047,4
75,35k_40k,married,56.1666679382324,2
66,85k_100k,married,47.75,2
43,40k_50k,married,21.4166660308838,4
32,100k_125k,not_married,14.5,2
64,100k_125k,married,43.4166679382324,2
60,125k_150k,married,26.0,2
35,75k_85k,married,16.3333339691162,5
62,200k_250k,married,19.6666660308838,2
70,12k_15k,not_married,0.583333313465118,2
43,40k_50k,not_married,14.5833330154419,2
63,over_250k,married,33.6666679382324,2
55,100k_125k,married,29.9166660308838,2
57,150k_175k,married,32.5,5
50,100k_125k,married,12.9166669845581,2
58,200k_250k,married,39.3333320617676,2
33,100k_125k,not_married,5.16666650772095,1
45,40k_50k,married,9.41666698455811,2
76,35k_40k,not_married,52.75,2
46,40k_50k,married,23.9166660308838,4
70,40k_50k,married,41.4166679382324,2
35,60k_75k,married,5.0,2
29,20k_25k,married,9.33333301544189,1
32,75k_85k,married,10.1666669845581,1
62,75k_85k,married,46.5833320617676,2
63,125k_150k,married,40.4166679382324,5
58,25k_30k,married,26.0,2
75,150k_175k,married,30.4166660308838,2
59,50k_60k,married,35.9166679382324,3
69,100k_125k,not_married,41.75,2
80,25k_30k,not_married,51.5833320617676,2
46,100k_125k,married,8.08333301544189,4
66,35k_40k,married,46.8333320617676,2
52,125k_150k,married,30.5,3
62,100k_125k,married,22.1666660308838,2
51,50k_60k,not_married,22.4166660308838,2
38,50k_60k,married,16.5833339691162,5
75,25k_30k,married,58.75,2
74,85k_100k,married,41.3333320617676,3
65,15k_20k,not_married,5.16666650772095,1
64,85k_100k,married,15.0,2
64,100k_125k,married,29.0,3
61,75k_85k,married,41.0833320617676,4
73,85k_100k,married,58.5,2
39,50k_60k,married,19.5,3
66,75k_85k,married,24.3333339691162,2
61,15k_20k,married,22.1666660308838,1
45,over_250k,married,24.4166660308838,1
48,under_5k,married,30.5833339691162,4
31,175k_200k,married,7.75,2
67,100k_125k,married,45.1666679382324,2
49,150k_175k,married,14.75,3
65,under_5k,married,34.1666679382324,2
59,100k_125k,married,36.0,2
46,150k_175k,not_married,23.5,4
63,25k_30k,not_married,39.0833320617676,3
49,85k_100k,married,14.3333330154419,2
56,60k_75k,married,20.25,2
47,125k_150k,married,26.3333339691162,4
43,60k_75k,not_married,3.33333325386047,1
62,150k_175k,married,34.0,2
61,100k_125k,married,12.9166669845581,2
53,85k_100k,married,15.4166669845581,3
26,60k_75k,not_married,0.416666656732559,1
61,75k_85k,married,46.3333320617676,2
49,150k_175k,married,27.0833339691162,3
77,125k_150k,married,53.6666679382324,2
67,25k_30k,married,48.5,4
75,60k_75k,not_married,0.583333313465118,1
44,150k_175k,married,20.8333339691162,8
41,60k_75k,married,9.66666698455811,3
57,150k_175k,married,38.1666679382324,3
52,85k_100k,not_married,1.25,2
77,40k_50k,married,52.1666679382324,2
59,40k_50k,married,34.5,2
58,75k_85k,married,25.0,1
41,over_250k,married,21.8333339691162,4
74,150k_175k,married,55.5,2
63,150k_175k,married,31.0833339691162,2
73,150k_175k,married,54.9166679382324,3
71,85k_100k,married,53.4166679382324,2
66,175k_200k,married,33.0,4
41,125k_150k,not_married,5.33333349227905,2
57,60k_75k,married,32.5833320617676,2
32,100k_125k,married,10.8333330154419,6
51,100k_125k,married,17.6666660308838,1
47,30k_35k,married,21.0833339691162,2
49,85k_100k,married,14.25,2
68,175k_200k,married,50.75,2
23,30k_35k,married,4.41666650772095,3
87,over_250k,married,56.0,2
41,75k_85k,married,27.0,3
65,75k_85k,married,48.4166679382324,2
44,175k_200k,married,20.5,2
37,175k_200k,married,13.5,3
60,150k_175k,married,22.0,4
62,100k_125k,married,34.5,2
44,50k_60k,married,23.6666660308838,3
32,175k_200k,married,14.5,5
60,50k_60k,married,40.5,1
49,125k_150k,married,14.0,3
69,85k_100k,married,40.5,2
64,100k_125k,married,21.5833339691162,2
39,over_250k,married,13.5833330154419,3
65,125k_150k,married,45.0,2
31,60k_75k,not_married,2.08333325386047,2
57,over_250k,married,32.9166679382324,2
38,85k_100k,married,20.9166660308838,6
65,85k_100k,married,34.6666679382324,2
33,75k_85k,married,6.91666650772095,3
38,40k_50k,married,13.0833330154419,6
33,100k_125k,married,7.5,5
50,over_250k,married,11.5,4
59,125k_150k,married,41.9166679382324,2
59,100k_125k,married,17.1666660308838,2
52,100k_125k,married,30.3333339691162,5
62,85k_100k,not_married,23.25,2
66,50k_60k,married,47.6666679382324,3
30,50k_60k,married,14.75,2
58,85k_100k,married,36.9166679382324,2
39,75k_85k,married,12.8333330154419,4
46,175k_200k,married,46.25,1
40,125k_150k,married,18.4166660308838,2
65,100k_125k,married,42.8333320617676,4
57,175k_200k,married,36.0,2
38,125k_150k,married,14.6666669845581,2
49,200k_250k,married,25.5833339691162,3
51,150k_175k,married,13.9166669845581,1
54,over_250k,married,27.4166660308838,2
58,15k_20k,married,28.75,1
58,60k_75k,married,33.4166679382324,2
59,100k_125k,married,12.1666669845581,2
73,85k_100k,not_married,4.75,1
53,150k_175k,married,30.0,3
71,85k_100k,married,50.0,2
31,75k_85k,married,6.0,2
53,100k_125k,married,28.4166660308838,4
56,100k_125k,married,38.75,3
32,over_250k,not_married,0.583333313465118,5
72,50k_60k,married,57.0833320617676,2
29,over_250k,not_married,5.0,7
64,100k_125k,not_married,13.1666669845581,2
50,40k_50k,married,14.6666669845581,2
35,50k_60k,married,17.5,2
47,125k_150k,married,10.9166669845581,4
64,40k_50k,married,47.75,2
70,50k_60k,married,52.75,2
55,150k_175k,married,28.3333339691162,4
65,125k_150k,married,36.3333320617676,1
40,125k_150k,not_married,8.25,1
58,100k_125k,married,32.3333320617676,2
41,175k_200k,not_married,3.0,2
62,100k_125k,married,34.9166679382324,3
59,200k_250k,married,40.0,2
51,50k_60k,not_married,22.75,3
62,30k_35k,married,38.9166679382324,1
42,under_5k,not_married,5.16666650772095,3
45,125k_150k,married,30.1666660308838,5
41,10k_12k,married,21.3333339691162,3
31,125k_150k,married,9.83333301544189,4
40,over_250k,married,25.0,6
69,40k_50k,married,48.9166679382324,5
79,75k_85k,married,57.25,6
62,under_5k,married,15.8333330154419,1
59,60k_75k,married,42.9166679382324,5
61,50k_60k,married,34.5833320617676,2
67,30k_35k,married,35.1666679382324,2
61,25k_30k,married,39.5,2
52,100k_125k,married,7.33333349227905,1
66,100k_125k,married,19.0833339691162,1
30,200k_250k,married,7.41666650772095,2
73,25k_30k,not_married,0.25,1
69,35k_40k,married,46.9166679382324,2
75,75k_85k,married,24.8333339691162,2
46,125k_150k,married,27.5833339691162,1
64,200k_250k,not_married,16.25,2
52,125k_150k,married,27.75,3
39,60k_75k,not_married,4.5,2
61,100k_125k,married,28.4166660308838,2
33,60k_75k,married,7.75,3
80,150k_175k,married,56.0,2
35,85k_100k,not_married,17.0833339691162,4
50,175k_200k,married,17.0833339691162,4
40,75k_85k,married,16.4166660308838,4
60,over_250k,married,40.75,2
98,85k_100k,married,53.5,2
55,200k_250k,married,32.5,5
43,125k_150k,married,18.9166660308838,2
59,150k_175k,not_married,36.8333320617676,1
59,25k_30k,not_married,5.66666650772095,1
55,125k_150k,married,29.75,3
45,200k_250k,married,18.0,3
29,100k_125k,not_married,5.58333349227905,2
49,over_250k,not_married,8.58333301544189,2
45,100k_125k,married,15.25,5
60,150k_175k,married,20.75,2
59,35k_40k,married,40.25,4
70,100k_125k,married,45.1666679382324,2
61,175k_200k,married,34.5833320617676,1
61,60k_75k,married,44.5,2
33,over_250k,married,11.25,5
75,over_250k,married,31.3333339691162,1
73,50k_60k,married,54.0833320617676,2
32,100k_125k,not_married,11.25,2
42,60k_75k,married,12.8333330154419,3
64,85k_100k,not_married,45.25,2
31,40k_50k,not_married,12.6666669845581,4
60,75k_85k,married,38.9166679382324,3
53,over_250k,married,24.6666660308838,3
61,125k_150k,married,25.5,4
66,40k_50k,married,42.1666679382324,1
38,150k_175k,not_married,10.9166669845581,2
33,200k_250k,married,14.3333330154419,2
73,60k_75k,married,50.5833320617676,2
65,150k_175k,married,52.5,2
46,175k_200k,married,22.9166660308838,4
59,150k_175k,married,30.4166660308838,3
62,100k_125k,married,29.75,2
67,100k_125k,married,50.8333320617676,2
67,40k_50k,married,49.8333320617676,2
33,75k_85k,married,7.58333349227905,3
40,125k_150k,married,21.25,8
61,175k_200k,married,37.0,5
61,100k_125k,married,43.6666679382324,2
39,50k_60k,not_married,3.41666674613953,2
77,over_250k,married,60.75,2
59,100k_125k,not_married,2.58333325386047,1
39,100k_125k,married,22.0,5
54,125k_150k,married,9.08333301544189,2
75,over_250k,married,51.0,2
45,75k_85k,married,23.4166660308838,4
36,under_5k,not_married,13.5833330154419,5
27,75k_85k,not_married,9.83333301544189,3
60,60k_75k,married,31.75,5
67,40k_50k,married,50.75,2
69,150k_175k,married,47.3333320617676,2
35,under_5k,not_married,10.75,1
33,100k_125k,married,17.0833339691162,2
70,85k_100k,married,50.3333320617676,2
60,125k_150k,married,42.6666679382324,3
68,175k_200k,married,27.0833339691162,2
57,75k_85k,married,31.1666660308838,1
57,85k_100k,married,28.5,2
43,over_250k,married,20.5,4
32,100k_125k,not_married,14.0,2
66,150k_175k,married,33.5833320617676,2
68,85k_100k,not_married,5.33333349227905,2
61,85k_100k,married,38.4166679382324,2
76,150k_175k,married,52.9166679382324,3
59,100k_125k,married,33.8333320617676,2
58,150k_175k,married,10.25,2
45,125k_150k,not_married,2.41666674613953,3
69,40k_50k,married,46.1666679382324,2
31,20k_25k,not_married,14.25,5
47,75k_85k,not_married,10.4166669845581,2
36,60k_75k,married,8.08333301544189,1
68,175k_200k,married,38.5,1
72,12k_15k,married,47.8333320617676,2
64,75k_85k,married,39.75,2
32,100k_125k,not_married,1.91666662693024,5
42,over_250k,married,15.6666669845581,4
65,125k_150k,married,36.6666679382324,2
45,60k_75k,married,24.25,2
82,125k_150k,married,65.5,1
33,200k_250k,married,12.8333330154419,2
68,50k_60k,married,42.4166679382324,2
63,40k_50k,married,37.0833320617676,2
75,175k_200k,married,53.0833320617676,2
66,85k_100k,married,7.66666650772095,3
54,125k_150k,married,29.5,2
75,25k_30k,married,59.5,2
62,60k_75k,married,39.5833320617676,3
48,125k_150k,not_married,4.33333349227905,1
65,50k_60k,married,21.4166660308838,2
54,150k_175k,married,30.5,2
60,150k_175k,married,24.0,2
63,75k_85k,married,47.3333320617676,3
53,85k_100k,married,23.75,3
74,20k_25k,married,32.5833320617676,2
65,85k_100k,married,39.9166679382324,2
71,10k_12k,not_married,12.25,2
55,85k_100k,married,35.5,2
73,25k_30k,married,32.5,1
73,75k_85k,not_married,6.58333349227905,1
63,20k_25k,married,45.6666679382324,2
30,40k_50k,married,10.25,2
46,125k_150k,married,18.6666660308838,4
57,150k_175k,married,37.75,6
60,125k_150k,not_married,30.75,2
68,100k_125k,married,50.0,2
44,over_250k,married,17.1666660308838,3
67,125k_150k,married,25.8333339691162,2
53,150k_175k,married,36.3333320617676,1
41,40k_50k,not_married,11.0833330154419,3
75,over_250k,married,47.25,2
82,50k_60k,married,47.0833320617676,3
39,150k_175k,married,12.8333330154419,4
83,20k_25k,not_married,18.8333339691162,1
55,200k_250k,married,28.25,3
49,35k_40k,married,22.0833339691162,3
46,200k_250k,married,9.5,3
36,over_250k,married,11.0833330154419,2
48,over_250k,married,20.0,4
70,175k_200k,married,52.5,2
32,15k_20k,not_married,2.58333325386047,2
31,30k_35k,married,9.08333301544189,2
73,85k_100k,married,54.9166679382324,2
35,200k_250k,married,11.9166669845581,3
63,85k_100k,married,31.5,2
45,over_250k,married,11.9166669845581,2
69,25k_30k,married,45.75,1
64,50k_60k,married,36.6666679382324,2
61,75k_85k,married,36.1666679382324,2
64,75k_85k,married,44.1666679382324,2
58,125k_150k,not_married,31.3333339691162,2
36,50k_60k,not_married,0.0833333358168602,2
56,150k_175k,married,35.5833320617676,2
79,85k_100k,not_married,24.9166660308838,1
80,50k_60k,not_married,25.6666660308838,2
52,85k_100k,not_married,12.8333330154419,1
71,175k_200k,married,41.6666679382324,2
46,100k_125k,married,27.4166660308838,4
30,50k_60k,not_married,3.16666674613953,2
63,50k_60k,married,27.1666660308838,2
60,85k_100k,not_married,14.5,2
71,30k_35k,married,36.5833320617676,2
62,100k_125k,married,19.3333339691162,2
55,50k_60k,married,32.25,4
36,75k_85k,married,16.75,4
38,100k_125k,married,15.5833330154419,4
81,75k_85k,married,46.1666679382324,2
36,30k_35k,not_married,16.3333339691162,3
40,125k_150k,married,15.0,5
57,100k_125k,married,15.6666669845581,2
68,200k_250k,married,50.4166679382324,6
53,60k_75k,married,29.9166660308838,1
62,40k_50k,married,40.8333320617676,4
68,85k_100k,married,41.1666679382324,3
75,60k_75k,married,53.75,3
53,25k_30k,not_married,12.0833330154419,4
54,125k_150k,married,9.16666698455811,2
55,50k_60k,married,26.4166660308838,2
59,175k_200k,married,43.9166679382324,2
71,20k_25k,not_married,3.66666674613953,6
75,75k_85k,married,36.75,2
39,125k_150k,married,14.6666669845581,5
75,85k_100k,married,51.5,2
24,over_250k,not_married,0.0833333358168602,3
24,175k_200k,not_married,3.16666674613953,1
36,85k_100k,married,15.1666669845581,4
59,150k_175k,married,32.9166679382324,3
57,200k_250k,married,19.75,2
48,5k_7k,not_married,3.75,4
78,50k_60k,married,60.9166679382324,2
61,15k_20k,married,36.8333320617676,2
67,75k_85k,married,37.25,2
66,75k_85k,married,35.0833320617676,4
35,over_250k,married,11.6666669845581,4
68,150k_175k,married,23.8333339691162,3
35,75k_85k,married,14.3333330154419,6
38,85k_100k,married,17.75,4
63,40k_50k,not_married,38.0833320617676,1
71,85k_100k,married,51.3333320617676,2
60,125k_150k,married,35.0,2
23,125k_150k,not_married,0.0,5
66,175k_200k,married,39.1666679382324,2
68,100k_125k,married,43.6666679382324,3
57,10k_12k,not_married,32.6666679382324,1
75,50k_60k,married,58.5833320617676,2
49,60k_75k,married,18.4166660308838,5
65,100k_125k,married,21.0833339691162,2
63,over_250k,married,43.8333320617676,2
58,85k_100k,married,8.0,2
57,175k_200k,married,33.75,2
70,50k_60k,married,51.5833320617676,1
59,over_250k,married,25.8333339691162,2
29,10k_12k,not_married,2.0,3
69,60k_75k,not_married,8.33333301544189,3
41,200k_250k,married,15.3333330154419,3
83,35k_40k,married,43.3333320617676,2
83,40k_50k,married,57.1666679382324,2
81,50k_60k,married,29.5833339691162,2
64,125k_150k,married,46.4166679382324,2
33,under_5k,not_married,4.58333349227905,3
74,60k_75k,married,57.4166679382324,2
53,under_5k,not_married,0.333333343267441,3
40,75k_85k,married,19.75,4
77,5k_7k,married,33.1666679382324,2
58,150k_175k,married,34.3333320617676,3
71,50k_60k,not_married,1.75,1
47,85k_100k,married,15.0,2
31,100k_125k,not_married,2.33333325386047,2
37,40k_50k,not_married,11.6666669845581,1
56,30k_35k,married,19.6666660308838,3
62,25k_30k,not_married,2.08333325386047,1
37,over_250k,married,9.16666698455811,4
79,60k_75k,married,60.4166679382324,2
62,175k_200k,married,31.9166660308838,2
38,100k_125k,married,17.5,4
57,75k_85k,not_married,17.1666660308838,3
53,175k_200k,married,35.5833320617676,2
45,125k_150k,married,26.5833339691162,3
48,175k_200k,married,23.25,6
74,100k_125k,married,56.4166679382324,2
68,75k_85k,not_married,2.0,1
81,100k_125k,not_married,13.1666669845581,2
43,75k_85k,not_married,4.66666650772095,4
67,100k_125k,married,30.0833339691162,3
30,60k_75k,not_married,1.91666662693024,2
40,125k_150k,married,21.5833339691162,5
55,40k_50k,married,39.1666679382324,4
56,100k_125k,not_married,19.0833339691162,2
40,100k_125k,married,13.4166669845581,4
49,25k_30k,married,18.4166660308838,3
83,50k_60k,married,46.9166679382324,2
29,50k_60k,married,11.9166669845581,3
59,100k_125k,not_married,1.08333337306976,2
33,15k_20k,not_married,10.9166669845581,2
48,85k_100k,married,7.08333349227905,3
32,20k_25k,not_married,11.1666669845581,2
64,40k_50k,married,25.5,2
29,125k_150k,married,9.25,5
76,40k_50k,married,53.1666679382324,2
60,85k_100k,married,10.75,2
74,85k_100k,married,53.6666679382324,2
24,60k_75k,not_married,5.83333349227905,2
28,35k_40k,not_married,4.16666650772095,3
50,12k_15k,not_married,2.91666674613953,2
43,85k_100k,married,10.5833330154419,4
69,40k_50k,married,44.6666679382324,2
77,200k_250k,married,59.5833320617676,2
63,50k_60k,married,43.1666679382324,2
38,60k_75k,married,16.3333339691162,4
60,100k_125k,married,36.3333320617676,3
61,125k_150k,married,24.6666660308838,2
57,175k_200k,married,40.0833320617676,2
75,over_250k,married,53.5833320617676,2
72,75k_85k,married,51.6666679382324,2
72,100k_125k,married,51.1666679382324,2
90,35k_40k,married,71.5833358764648,2
24,125k_150k,not_married,2.33333325386047,2
65,60k_75k,married,49.6666679382324,2
58,60k_75k,not_married,1.91666662693024,1
64,20k_25k,married,25.75,2
81,85k_100k,married,58.3333320617676,2
54,15k_20k,married,38.9166679382324,3
32,60k_75k,not_married,0.5,2
50,100k_125k,married,24.75,4
46,60k_75k,married,17.25,2
51,75k_85k,married,20.75,4
58,40k_50k,married,32.5,3
52,150k_175k,married,31.1666660308838,3
64,85k_100k,married,35.5,2
38,12k_15k,not_married,19.5833339691162,4
79,75k_85k,married,61.9166679382324,2
57,85k_100k,not_married,15.5833330154419,2
68,125k_150k,married,42.5,3
81,25k_30k,married,64.5833358764648,2
77,35k_40k,married,38.5833320617676,2
81,100k_125k,married,57.25,3
65,125k_150k,not_married,10.6666669845581,2
49,25k_30k,not_married,0.16666667163372,1
48,40k_50k,married,28.4166660308838,5
35,100k_125k,married,16.6666660308838,4
26,100k_125k,married,6.58333349227905,2
62,100k_125k,married,32.1666679382324,3
55,75k_85k,married,29.6666660308838,4
53,150k_175k,married,32.5,5
60,175k_200k,married,30.6666660308838,4
39,150k_175k,married,21.0833339691162,4
41,40k_50k,married,15.3333330154419,3
60,over_250k,married,31.25,4
74,150k_175k,married,58.5,2
68,200k_250k,married,23.0,2
71,100k_125k,married,51.8333320617676,3
65,12k_15k,married,47.75,2
42,125k_150k,married,20.0,4
79,175k_200k,married,57.8333320617676,1
25,85k_100k,not_married,2.33333325386047,3
45,60k_75k,married,22.0,5
68,60k_75k,married,53.5,2
57,100k_125k,not_married,28.75,2
44,over_250k,married,23.6666660308838,4
69,15k_20k,married,36.75,2
41,60k_75k,married,11.6666669845581,3
78,85k_100k,married,63.75,2
57,60k_75k,married,28.8333339691162,2
32,7k_10k,not_married,7.91666650772095,1
47,30k_35k,not_married,3.16666674613953,3
84,10k_12k,not_married,1.08333337306976,1
