subject_age,subject_income_category,married,relationship_duration,children
29,75k_85k,married,4.25,4
56,over_250k,married,15.0833330154419,4
86,125k_150k,not_married,5.0,1
43,125k_150k,married,20.5833339691162,2
51,150k_175k,married,31.0833339691162,3
32,100k_125k,married,10.5,2
74,175k_200k,married,24.0833339691162,2
66,50k_60k,married,45.0,3
63,85k_100k,married,30.3333339691162,2
44,125k_150k,married,18.8333339691162,5
66,75k_85k,married,36.6666679382324,2
56,30k_35k,married,36.9166679382324,2
40,85k_100k,not_married,4.83333349227905,3
40,20k_25k,married,17.4166660308838,4
46,over_250k,married,11.5833330154419,4
28,60k_75k,married,9.91666698455811,4
60,60k_75k,not_married,1.83333337306976,2
40,85k_100k,not_married,0.25,1
63,175k_200k,married,38.5833320617676,2
35,60k_75k,married,13.8333330154419,4
79,200k_250k,married,55.5833320617676,2
74,50k_60k,married,39.5833320617676,2
40,85k_100k,married,17.8333339691162,4
67,75k_85k,married,51.0833320617676,1
25,50k_60k,not_married,4.25,2
59,over_250k,married,33.1666679382324,2
74,85k_100k,married,34.9166679382324,2
73,60k_75k,married,60.0833320617676,2
79,40k_50k,married,30.25,2
33,200k_250k,married,12.1666669845581,3
61,75k_85k,married,35.8333320617676,2
74,100k_125k,married,31.75,2
69,50k_60k,married,46.1666679382324,3
32,50k_60k,not_married,1.25,1
71,60k_75k,married,36.1666679382324,3
77,50k_60k,married,58.5,3
48,100k_125k,married,17.3333339691162,1
68,50k_60k,married,13.4166669845581,2
50,100k_125k,married,20.9166660308838,4
56,125k_150k,married,37.6666679382324,2
43,125k_150k,married,17.6666660308838,3
67,85k_100k,not_married,0.75,1
51,200k_250k,married,29.1666660308838,4
75,30k_35k,married,52.1666679382324,2
72,35k_40k,married,51.25,2
43,200k_250k,married,9.08333301544189,2
72,50k_60k,married,50.6666679382324,2
36,125k_150k,married,8.08333301544189,5
39,100k_125k,married,13.0,4
62,85k_100k,married,40.4166679382324,2
31,100k_125k,not_married,5.33333349227905,5
47,100k_125k,married,16.9166660308838,4
57,15k_20k,married,29.1666660308838,3
69,40k_50k,married,51.8333320617676,2
51,60k_75k,not_married,27.3333339691162,4
63,15k_20k,married,28.8333339691162,1
60,under_5k,not_married,18.8333339691162,1
57,10k_12k,married,32.6666679382324,2
73,75k_85k,married,52.5833320617676,2
64,100k_125k,married,44.9166679382324,2
41,150k_175k,married,24.25,4
40,125k_150k,married,10.3333330154419,6
70,75k_85k,married,50.75,2
66,75k_85k,married,41.25,3
73,12k_15k,not_married,8.75,1
53,35k_40k,not_married,1.5,2
71,125k_150k,married,43.5,3
66,50k_60k,married,33.3333320617676,2
44,100k_125k,married,28.8333339691162,4
73,30k_35k,married,56.4166679382324,2
56,40k_50k,married,31.4166660308838,2
55,75k_85k,married,22.0,3
61,35k_40k,married,36.25,2
55,85k_100k,not_married,8.58333301544189,5
23,75k_85k,married,0.666666686534882,2
62,40k_50k,married,46.0833320617676,1
65,100k_125k,married,39.4166679382324,2
80,over_250k,married,57.6666679382324,3
70,75k_85k,married,47.1666679382324,2
54,20k_25k,married,24.75,3
60,40k_50k,not_married,0.333333343267441,1
48,150k_175k,married,24.25,1
50,over_250k,not_married,50.25,1
76,175k_200k,married,54.5,2
70,200k_250k,not_married,7.91666650772095,2
75,60k_75k,married,48.5,2
26,50k_60k,not_married,5.25,1
56,175k_200k,married,25.0833339691162,4
58,175k_200k,not_married,18.5,2
65,75k_85k,married,46.25,3
60,100k_125k,married,27.0,5
73,150k_175k,married,53.1666679382324,2
28,150k_175k,married,2.5,3
70,125k_150k,married,52.3333320617676,2
70,60k_75k,not_married,0.0833333358168602,1
36,over_250k,married,3.08333325386047,6
43,100k_125k,married,8.83333301544189,1
50,30k_35k,married,31.75,4
72,85k_100k,married,56.75,2
49,35k_40k,married,19.0833339691162,4
68,85k_100k,married,34.5,1
55,40k_50k,not_married,13.0,2
52,75k_85k,married,5.75,1
55,200k_250k,married,32.9166679382324,2
66,150k_175k,married,30.25,2
69,40k_50k,married,49.75,1
60,75k_85k,not_married,15.5,2
73,20k_25k,not_married,17.0,2
49,30k_35k,married,13.25,2
40,60k_75k,married,14.5,1
54,100k_125k,married,21.0,3
58,150k_175k,not_married,20.0833339691162,1
31,100k_125k,married,6.83333349227905,4
48,40k_50k,married,31.1666660308838,3
68,40k_50k,married,49.25,2
53,over_250k,married,32.5,5
77,40k_50k,married,58.25,2
33,under_5k,married,11.4166669845581,6
76,50k_60k,married,61.0,2
60,over_250k,married,37.0833320617676,3
32,60k_75k,married,14.3333330154419,5
46,85k_100k,not_married,1.58333337306976,4
34,60k_75k,married,11.0833330154419,4
57,100k_125k,married,6.0,2
58,75k_85k,married,21.75,2
51,100k_125k,not_married,20.75,2
61,125k_150k,married,40.4166679382324,2
30,50k_60k,not_married,12.1666669845581,3
78,125k_150k,married,26.0833339691162,4
56,200k_250k,married,17.9166660308838,5
27,100k_125k,not_married,2.33333325386047,2
45,75k_85k,married,23.25,4
34,75k_85k,married,14.6666669845581,6
46,60k_75k,married,17.6666660308838,5
54,35k_40k,not_married,14.8333330154419,2
25,60k_75k,married,25.5,4
65,100k_125k,married,35.1666679382324,2
50,15k_20k,married,25.9166660308838,2
46,100k_125k,married,28.4166660308838,4
34,125k_150k,married,10.0833330154419,3
76,75k_85k,married,59.0833320617676,2
43,60k_75k,married,25.5833339691162,4
24,50k_60k,not_married,2.91666674613953,3
62,75k_85k,married,30.6666660308838,2
62,100k_125k,married,40.1666679382324,2
68,50k_60k,married,51.5,3
76,7k_10k,not_married,11.5,1
58,100k_125k,not_married,0.583333313465118,4
67,125k_150k,married,29.8333339691162,2
56,200k_250k,married,17.0,2
66,100k_125k,married,31.75,4
60,150k_175k,married,38.8333320617676,2
56,100k_125k,not_married,10.0,2
31,60k_75k,not_married,2.25,1
63,over_250k,married,43.0,1
77,60k_75k,married,56.1666679382324,2
57,7k_10k,married,29.75,2
33,50k_60k,married,16.5833339691162,3
57,125k_150k,married,38.5833320617676,2
51,100k_125k,married,28.4166660308838,5
42,15k_20k,married,6.16666650772095,1
37,over_250k,married,15.8333330154419,4
31,85k_100k,not_married,2.75,2
51,200k_250k,married,30.1666660308838,2
63,35k_40k,not_married,15.0,2
38,100k_125k,married,11.25,6
49,75k_85k,married,31.0833339691162,2
67,100k_125k,married,45.0,2
73,125k_150k,married,30.4166660308838,3
61,over_250k,married,43.8333320617676,2
39,125k_150k,married,7.25,3
64,40k_50k,married,43.0,2
80,85k_100k,married,62.6666679382324,2
57,100k_125k,not_married,23.25,2
76,175k_200k,married,55.4166679382324,2
53,85k_100k,married,32.6666679382324,2
76,over_250k,married,49.4166679382324,2
56,125k_150k,married,24.1666660308838,4
64,50k_60k,married,44.8333320617676,3
39,125k_150k,married,11.9166669845581,4
36,7k_10k,not_married,4.16666650772095,1
43,50k_60k,married,27.3333339691162,6
60,20k_25k,married,47.0,1
67,20k_25k,married,9.08333301544189,2
74,75k_85k,not_married,36.5,1
77,50k_60k,married,41.5,2
44,15k_20k,not_married,11.0833330154419,2
66,60k_75k,married,37.1666679382324,2
73,200k_250k,married,53.75,3
64,100k_125k,married,29.0833339691162,2
55,35k_40k,married,20.9166660308838,3
72,85k_100k,married,52.75,2
61,50k_60k,married,22.5,6
70,50k_60k,married,13.9166669845581,2
36,30k_35k,not_married,1.16666662693024,4
54,175k_200k,married,35.5833320617676,2
28,150k_175k,not_married,3.08333325386047,3
61,150k_175k,not_married,6.58333349227905,1
47,150k_175k,married,19.5,1
79,100k_125k,not_married,2.25,1
40,60k_75k,married,7.66666650772095,3
56,50k_60k,married,32.9166679382324,2
66,150k_175k,married,41.0833320617676,2
62,85k_100k,not_married,27.9166660308838,2
60,40k_50k,married,37.6666679382324,2
45,over_250k,married,16.3333339691162,2
40,75k_85k,married,6.33333349227905,2
43,under_5k,not_married,6.41666650772095,4
33,30k_35k,not_married,15.8333330154419,1
57,over_250k,married,13.5,2
44,175k_200k,married,27.3333339691162,4
39,200k_250k,married,16.9166660308838,4
47,75k_85k,married,27.3333339691162,1
31,30k_35k,married,14.5,2
64,7k_10k,not_married,0.25,1
63,60k_75k,not_married,40.0,2
60,200k_250k,married,32.5833320617676,2
37,175k_200k,not_married,15.8333330154419,4
52,75k_85k,married,36.4166679382324,4
24,50k_60k,not_married,7.25,4
64,60k_75k,not_married,0.25,1
56,75k_85k,not_married,4.08333349227905,4
39,150k_175k,married,3.41666674613953,3
33,50k_60k,not_married,0.25,1
74,30k_35k,not_married,50.0833320617676,3
50,100k_125k,married,10.3333330154419,2
49,125k_150k,married,33.4166679382324,3
75,40k_50k,married,35.6666679382324,1
59,125k_150k,married,10.0833330154419,2
42,60k_75k,married,4.5,2
52,85k_100k,married,12.4166669845581,1
36,175k_200k,married,19.3333339691162,4
51,20k_25k,married,19.5,4
58,20k_25k,married,0.16666667163372,4
73,175k_200k,married,46.5,3
77,100k_125k,married,56.8333320617676,2
54,150k_175k,married,36.25,4
55,60k_75k,married,23.5833339691162,5
68,60k_75k,married,18.3333339691162,2
44,20k_25k,married,12.5833330154419,3
32,200k_250k,married,13.3333330154419,2
58,over_250k,married,34.0833320617676,1
40,60k_75k,not_married,0.5,4
59,100k_125k,married,39.0,3
63,50k_60k,married,18.5833339691162,3
59,125k_150k,married,36.4166679382324,2
57,125k_150k,married,37.6666679382324,1
71,over_250k,married,39.9166679382324,2
67,60k_75k,married,46.75,2
54,40k_50k,married,26.5833339691162,2
51,40k_50k,married,25.75,3
27,200k_250k,married,6.33333349227905,2
44,125k_150k,married,26.4166660308838,4
54,over_250k,married,15.4166669845581,2
79,100k_125k,married,57.4166679382324,2
43,10k_12k,married,24.25,3
32,60k_75k,not_married,15.1666669845581,3
62,60k_75k,married,42.1666679382324,3
50,100k_125k,not_married,8.75,3
41,75k_85k,married,20.0833339691162,6
37,175k_200k,not_married,14.25,1
33,60k_75k,not_married,2.33333325386047,1
75,35k_40k,married,52.75,1
69,30k_35k,married,53.0,2
50,40k_50k,not_married,11.3333330154419,2
41,40k_50k,not_married,3.08333325386047,2
45,7k_10k,not_married,27.25,3
38,100k_125k,married,14.0,4
47,75k_85k,married,26.5,5
33,50k_60k,married,7.91666650772095,3
67,20k_25k,not_married,43.4166679382324,2
62,75k_85k,married,34.5,2
33,125k_150k,married,13.25,4
82,50k_60k,married,46.9166679382324,3
75,150k_175k,married,51.75,2
40,40k_50k,married,9.33333301544189,4
72,85k_100k,married,57.3333320617676,1
35,150k_175k,not_married,5.58333349227905,2
73,85k_100k,married,46.5,2
59,50k_60k,married,34.9166679382324,1
72,75k_85k,married,57.4166679382324,1
60,85k_100k,not_married,10.0833330154419,1
66,35k_40k,married,14.6666669845581,1
42,over_250k,married,10.8333330154419,3
68,5k_7k,married,44.0833320617676,3
34,200k_250k,married,12.25,1
72,150k_175k,married,54.25,1
58,85k_100k,married,35.3333320617676,2
69,15k_20k,married,49.3333320617676,1
34,60k_75k,not_married,4.66666650772095,4
51,over_250k,married,14.5833330154419,2
84,60k_75k,married,64.1666641235352,2
46,40k_50k,married,21.9166660308838,2
66,125k_150k,married,51.4166679382324,3
77,60k_75k,married,57.6666679382324,2
67,125k_150k,married,41.8333320617676,3
43,150k_175k,married,20.0833339691162,3
74,60k_75k,married,59.4166679382324,2
29,125k_150k,not_married,6.33333349227905,2
83,60k_75k,married,60.25,2
49,125k_150k,married,20.3333339691162,2
82,under_5k,married,65.3333358764648,2
66,100k_125k,married,43.8333320617676,2
33,125k_150k,not_married,2.41666674613953,2
42,7k_10k,not_married,1.5,4
38,85k_100k,married,17.1666660308838,2
58,75k_85k,married,45.5,2
76,60k_75k,married,55.75,2
71,150k_175k,married,51.75,2
60,85k_100k,married,17.25,2
65,85k_100k,married,40.25,3
39,40k_50k,married,20.4166660308838,4
31,75k_85k,married,8.0,2
72,125k_150k,married,9.33333301544189,3
64,over_250k,married,38.4166679382324,2
74,125k_150k,married,50.3333320617676,2
55,200k_250k,not_married,8.58333301544189,1
63,20k_25k,married,43.25,2
68,150k_175k,married,48.25,2
31,30k_35k,married,10.0,2
73,60k_75k,married,32.6666679382324,2
55,60k_75k,not_married,23.5,2
29,15k_20k,not_married,1.58333337306976,4
51,under_5k,married,27.3333339691162,3
54,75k_85k,married,23.0833339691162,3
42,40k_50k,married,14.75,2
29,40k_50k,married,3.66666674613953,6
64,200k_250k,married,24.4166660308838,1
70,60k_75k,not_married,25.0833339691162,2
43,200k_250k,married,25.3333339691162,4
61,125k_150k,married,31.5,2
52,7k_10k,married,32.75,1
65,175k_200k,married,45.75,2
49,40k_50k,married,26.25,3
49,30k_35k,not_married,6.33333349227905,2
67,40k_50k,married,47.5,1
72,60k_75k,married,47.0833320617676,2
63,175k_200k,married,34.5833320617676,1
57,175k_200k,married,18.4166660308838,1
62,75k_85k,married,9.75,2
72,under_5k,not_married,53.9166679382324,2
43,85k_100k,married,13.5833330154419,1
31,125k_150k,married,9.33333301544189,4
75,100k_125k,married,53.9166679382324,2
59,over_250k,married,26.0833339691162,2
41,85k_100k,married,21.5833339691162,4
62,100k_125k,married,38.4166679382324,3
78,20k_25k,married,31.75,2
65,50k_60k,married,34.9166679382324,3
75,150k_175k,not_married,26.0,5
75,200k_250k,married,72.0,2
56,75k_85k,married,11.0833330154419,2
38,200k_250k,married,19.3333339691162,3
31,60k_75k,not_married,11.0833330154419,2
73,12k_15k,not_married,39.5833320617676,1
48,200k_250k,married,12.6666669845581,2
62,85k_100k,married,26.0833339691162,3
71,40k_50k,married,52.4166679382324,2
31,60k_75k,married,4.58333349227905,2
51,85k_100k,married,33.5833320617676,2
57,40k_50k,married,7.25,2
79,30k_35k,married,55.75,2
73,100k_125k,married,46.0833320617676,2
81,100k_125k,not_married,25.6666660308838,1
47,85k_100k,married,8.75,2
60,12k_15k,married,43.8333320617676,2
40,30k_35k,not_married,9.16666698455811,2
47,over_250k,married,15.25,4
72,100k_125k,married,47.75,2
62,100k_125k,married,44.25,2
50,60k_75k,married,5.91666650772095,2
59,175k_200k,not_married,0.583333313465118,1
40,40k_50k,married,13.1666669845581,4
68,75k_85k,married,20.75,2
58,40k_50k,married,22.3333339691162,2
65,60k_75k,married,3.66666674613953,1
60,150k_175k,married,26.5833339691162,2
47,150k_175k,married,19.9166660308838,4
27,35k_40k,not_married,8.16666698455811,2
30,5k_7k,married,16.0833339691162,1
65,150k_175k,married,34.6666679382324,2
41,200k_250k,married,14.5,2
66,85k_100k,married,36.8333320617676,2
41,100k_125k,married,7.33333349227905,2
68,15k_20k,married,39.75,2
60,85k_100k,not_married,1.66666662693024,1
72,85k_100k,married,28.4166660308838,7
44,60k_75k,married,13.4166669845581,1
68,100k_125k,married,39.4166679382324,2
91,100k_125k,married,72.6666641235352,3
34,100k_125k,married,14.0,4
45,200k_250k,married,22.75,5
52,50k_60k,married,24.9166660308838,3
50,under_5k,married,24.75,1
61,175k_200k,married,34.6666679382324,2
29,100k_125k,married,10.6666669845581,3
45,85k_100k,married,26.3333339691162,4
58,175k_200k,married,38.0,2
58,20k_25k,married,33.8333320617676,2
32,85k_100k,married,9.83333301544189,2
38,85k_100k,married,25.9166660308838,5
60,75k_85k,married,43.1666679382324,2
55,125k_150k,married,31.25,2
51,175k_200k,married,19.5833339691162,2
72,60k_75k,married,51.5833320617676,2
62,40k_50k,not_married,8.08333301544189,2
68,30k_35k,married,49.75,2
53,85k_100k,not_married,0.916666686534882,1
66,85k_100k,married,46.0,3
57,75k_85k,married,27.75,4
23,over_250k,not_married,3.25,5
52,50k_60k,married,23.0833339691162,4
62,85k_100k,married,35.3333320617676,2
48,125k_150k,married,24.25,5
39,100k_125k,not_married,12.0,1
26,20k_25k,not_married,2.75,1
55,100k_125k,married,31.1666660308838,2
53,175k_200k,married,31.0833339691162,4
38,85k_100k,married,12.25,4
47,150k_175k,married,31.75,5
57,35k_40k,married,35.3333320617676,2
86,100k_125k,married,45.6666679382324,2
60,200k_250k,married,19.9166660308838,3
65,40k_50k,not_married,30.5,2
73,60k_75k,married,18.5,2
59,100k_125k,not_married,11.9166669845581,3
41,over_250k,married,14.5833330154419,6
48,over_250k,married,33.4166679382324,3
30,35k_40k,not_married,3.33333325386047,1
64,10k_12k,not_married,1.33333337306976,2
67,125k_150k,married,43.6666679382324,3
37,over_250k,married,14.3333330154419,2
62,85k_100k,married,31.6666660308838,3
51,85k_100k,not_married,0.583333313465118,1
68,50k_60k,married,50.0833320617676,2
58,20k_25k,married,40.1666679382324,3
79,125k_150k,married,60.6666679382324,2
43,60k_75k,married,12.9166669845581,5
28,50k_60k,not_married,6.91666650772095,2
79,over_250k,married,59.0,2
63,100k_125k,married,45.1666679382324,3
74,85k_100k,married,55.3333320617676,2
87,50k_60k,married,53.9166679382324,2
64,25k_30k,married,30.9166660308838,3
57,150k_175k,married,36.75,3
63,75k_85k,married,48.5833320617676,2
31,75k_85k,not_married,10.4166669845581,2
39,50k_60k,married,17.1666660308838,3
49,100k_125k,married,12.5833330154419,6
56,50k_60k,married,37.5,2
59,over_250k,married,18.3333339691162,4
64,75k_85k,married,28.25,2
60,200k_250k,married,32.75,3
66,85k_100k,married,45.5833320617676,2
59,125k_150k,married,38.8333320617676,2
29,60k_75k,married,10.75,3
34,50k_60k,married,10.9166669845581,2
63,75k_85k,married,28.9166660308838,2
56,175k_200k,married,31.25,3
90,100k_125k,married,43.3333320617676,3
65,30k_35k,married,42.75,3
66,150k_175k,married,48.0,2
79,150k_175k,married,57.1666679382324,2
74,75k_85k,married,41.0833320617676,2
24,85k_100k,not_married,6.0,2
46,125k_150k,married,22.3333339691162,2
54,150k_175k,married,24.0,1
67,40k_50k,married,15.1666669845581,4
64,200k_250k,married,42.5,2
75,100k_125k,married,44.9166679382324,2
71,100k_125k,married,54.0833320617676,2
69,75k_85k,married,51.6666679382324,2
44,125k_150k,married,25.3333339691162,6
37,100k_125k,married,21.4166660308838,7
75,125k_150k,married,53.0833320617676,2
65,20k_25k,married,35.25,2
30,75k_85k,not_married,1.0,3
37,15k_20k,not_married,0.583333313465118,2
58,100k_125k,married,18.5833339691162,2
59,125k_150k,married,10.0833330154419,2
86,150k_175k,married,28.0,2
57,175k_200k,married,30.8333339691162,6
38,40k_50k,married,14.8333330154419,2
32,75k_85k,not_married,12.75,4
67,40k_50k,married,50.5,2
72,100k_125k,married,41.0833320617676,2
71,175k_200k,married,23.0833339691162,2
67,200k_250k,married,42.4166679382324,2
32,40k_50k,not_married,9.66666698455811,2
81,100k_125k,married,59.75,3
30,175k_200k,not_married,0.833333313465118,3
83,40k_50k,married,54.4166679382324,2
63,75k_85k,not_married,22.5,2
31,40k_50k,not_married,3.5,1
30,40k_50k,not_married,1.5,2
79,over_250k,married,45.9166679382324,1
63,75k_85k,married,23.5833339691162,2
62,60k_75k,married,43.75,2
63,85k_100k,married,45.0833320617676,2
43,75k_85k,married,22.3333339691162,5
55,100k_125k,married,14.25,2
63,200k_250k,not_married,1.41666662693024,3
54,100k_125k,not_married,12.75,2
47,200k_250k,not_married,26.9166660308838,1
88,50k_60k,married,71.4166641235352,2
49,100k_125k,not_married,12.75,3
32,50k_60k,married,13.25,5
79,175k_200k,married,45.6666679382324,2
58,75k_85k,not_married,18.5833339691162,2
52,150k_175k,married,16.0833339691162,3
68,20k_25k,married,19.75,1
41,12k_15k,not_married,6.33333349227905,3
31,85k_100k,not_married,2.58333325386047,1
53,175k_200k,married,34.9166679382324,2
32,85k_100k,not_married,4.83333349227905,1
32,40k_50k,married,8.91666698455811,4
56,175k_200k,married,24.0,3
59,150k_175k,married,24.0833339691162,1
56,200k_250k,not_married,1.75,1
49,40k_50k,married,9.5,2
